"Date","Price","Open","High","Low","Change %"
"Mar 29, 2021","0.395","0.385","0.395","0.385","2.60%"
"Mar 26, 2021","0.385","0.385","0.385","0.385","0.00%"
"Mar 25, 2021","0.385","0.385","0.385","0.385","-2.53%"
"Mar 24, 2021","0.395","0.405","0.405","0.395","-2.47%"
"Mar 23, 2021","0.405","0.405","0.405","0.405","-3.57%"
"Mar 22, 2021","0.420","0.425","0.425","0.420","-1.18%"
"Mar 19, 2021","0.425","0.400","0.425","0.400","6.25%"
"Mar 18, 2021","0.400","0.390","0.400","0.390","2.56%"
"Mar 17, 2021","0.390","0.390","0.390","0.390","-7.14%"
"Mar 16, 2021","0.420","0.400","0.420","0.400","5.00%"
